id,name,category,themes,summary,time,address,longitude,latitude,tags,duration,overview,city
1,정동심곡 바다부채길,4,"['레포츠', '가족', '친구', '풍경', '힐링', '바다', '트레킹', '동해']",천혜의 비경을 간직한 정동진 탐방로,영업시간 매일 09:00 ~ 16:30,강원특별자치도 강릉시 강동면 정동진리 50-13 정동매표소(정동항),129.045555,37.68406,"[2, 3, 4, 5, 7, 9, 12, 14]",3,"정동심곡 바다부채길의 ‘정동’은 임금이 거처하는 한양에서 정방향으로 동쪽에 있다는 뜻에서 유래했으며, ‘심곡’은 깊은 골짜기 안에 있는 마을이란 뜻에서 유래되었다. 정동진의 ‘부채끝’ 지형과 탐방로가 위치한 지형의 모양이 바다를 향해 부채를 펼쳐 놓은 모양과 같아서 ‘정동심곡 바다부채길’로 지명이 선정되었다. 천연기념물로 지정된 곳이며, 동해 탄생의 비밀을 간직한 200~250만 년 전 지각변동을 관찰할 수 있는 국내 유일의 해안단구이다. 정동항(정동매표소)부터 심곡항(심곡매표소)까지 약 3.01㎞ 탐방로가 조성되어 동해바다의 푸른 물결과 웅장한 기암괴석에서 오는 비경의 아름다움을 감상할 수 있으며 그동안 해안경비를 위해 군 경계근무 정찰로로만 이용되어 온 곳으로 천혜의 비경을 선사한다.",강릉시
2,춘천대교,4,['관광지'],               ,,강원특별자치도 춘천시 근화동,127.70884,37.888543,[18],3,"의암호 위에 떠 있는 섬 중도에 자리한 레고랜드 테마파크와 춘천 시내를 연결하는 대교다. 2019년 올해의 토목 구조상에서 금상을 수상한 건축물로, 다리 위 케이블을 연결한 원형 탑이 인상적이다. 다채로운 조명이 빛나는 야경 명소이자 시원하게 달리기 좋은 드라이브 명소로 사랑받고 있다. 춘천의 다양한 모습을 12가지 이미지로 구현한 화려한 분수쇼도 볼거리 중 하나로 매일 저녁 3회(20:00, 21:00, 22:00) 진행된다. 드라마 <스물다섯 스물하나>에서 김태리와 남주혁이 무지개를 바라보는 장면이 촬영된 장소이기도 하다.",춘천시
3,신재생에너지전시관,4,"['아이', '문화', '체험', '전시관', '실내']",미래 에너지의 원리를 배우는 곳,매일 00:00 ~ 24:00,강원특별자치도 평창군 대관령면 횡계리 14-297,128.758287,37.685572,"[6, 12, 14, 16, 18]",3,"신·재생에너지는 물, 바람, 태양 등을 이용하여 한번 사용해도 다시 생겨나는 에너지 자원을 뜻하며 자연을 통해 얻을 수 있어 친환경적이다. 평창에 위치한 대관령 신·재생에너지 전시관은 우리나라 에너지 현황과 신·재생에너지, 그리고 풍력 발전의 역사, 원리 등을 알기 쉽게 설명해 주고 직접 체험할 수 있는 공간이다. 전시관은 상징공간인 ‘바람아 불어라(Welcome Zone)’, 화석 에너지의 고갈, 우리나라의 에너지 생산과 소비, 신·재생에너지의 필요성과 종류, 풍력발전의 경쟁력 등에 대하여 알아보는 ‘바람이 희망이다(우리나라의 에너지)’, 풍력에너지의 역사, 원리, 종류, 구조 및 세계의 풍력발전 단지 등에 대하여 알아보는 ‘바람이 에너지다(풍력발전)’, 주제 공간 ‘여기는 대관령 풍력 단지’ 외 체험공간인 ‘바람 에너지 놀이터’로 구성되어 있다. 바람 에너지 놀이터는 태양전지 벌레, 물로 가는 자동차, 내가 만드는 전기, 바람 느끼기 등 9개의 체험 전시물로 구성되어 있어 청소년들이 직접 에너지를 만들어보고 미래 에너지의 원리를 배울 수 있다. 또, 이곳에서는 한국 최대 규모의 풍력 단지인 대관령 풍력발전소도 볼 수 있다.",평창군
4,솔올미술관,4,"['가족', '친구', '연인', '문화']","한국미술과 세계미술을 연결하다, 강릉 솔올 미술관",화~일 10:00 ~ 19:00,강원특별자치도 강릉시 교동 산303-3,128.879599,37.758871,"[6, 12]",3,"솔올미술관이 2024년 2월, 강릉의 새로운 공공 미술관으로 개관하였다. ‘솔올’이라는 이름은 미술관이 자리한 지역의 옛 이름으로, ‘소나무 많은 고을’이라는 뜻을 담고 있다. 마이어 파트너스(Meier Partners)의 건축 작품으로, 현대건축의 거장인 리처드 마이어(Richard Meier)의 건축 디자인과 철학을 보여준다.

솔올미술관은 한국미술과 세계미술을 연결하여 우리 미술의 미술사적 맥락을 조명하는 미술관이다. 현대미술사 거장의 작품세계를 소개하고 역사적 의미와 예술적 가치를 조명한다. 또한 강릉의 새로운 문화예술 랜드마크로서 도시 예술의 품격을 더하는 미술관이 될 것으로 기대한다.",강릉시
6,하이원 그랜드호텔 컨벤션타워,3,['숙박'],하이원리조트의 컨벤션 전문 호텔,,강원특별자치도 정선군 사북읍 사북리 424,128.821151,37.213608,[1],1,,정선군
7,브리드호텔 양양,3,"['숙박', '바다']",양양 바다 조망이 가능한 호텔,,강원특별자치도 양양군 현남면 인구리 1-77 브리드호텔 양양,128.762088,37.97099,[1],1,,양양군
9,메이플비치골프앤리조트 CC,3,['숙박'],오션뷰와 대관령뷰가 있는 강릉 해변의 골프&리조트,,강원특별자치도 강릉시 강동면 하시동리 산131-6,128.968936,37.746568,[1],3,,강릉시
10,더블루힐,3,['숙박'],바다뷰와 논뷰의 아파트형 숙소,,강원특별자치도 강릉시 주문진읍 주문리 1154-1,128.818335,37.9037,[1],1,,강릉시
11,헬로우펜션,3,['숙박'],,,강원특별자치도 횡성군 둔내면 삽교리 435 헬로우펜션,128.272769,37.556064,[1],1,,횡성군
12,뮤지엄엑스,2,"['문화', '체험', '카페', '실내', '오션뷰']",     디지털 기술이 결합된 몰입형 전시 체험 공간,매일 10:00 ~ 18:00,강원특별자치도 속초시 영랑동 148-15 뮤지엄엑스,128.592372,38.21891,[1],3,"뮤지엄엑스는 2023년 7월에 개관한 몰입형 전시 체험 공간이다. 국립중앙박물관, 대한민국임시정부 기념관 등을 비롯한 수많은 전시관, 박물관 등의 실감 콘텐츠를 제작 및 구축한 기업인 엑스오비스가 설립한 공간으로, 엑스오비스의 기술력이 동원된 신개념 전시 공간이다.
총면적 약 530평, 4층 규모의 전시관에는 가상현실, 인공지능, 홀로그램, 게임 등 현존하는 미디어 테크놀로지를 오감으로 경험할 수 있는 다양한 체험시설로 가득하다. 130K 해상도의 빔 프로젝터, 총 2,200만 개의 LED로 구현되는 빛과 영상, 아티스트, 디자이너, 건축가, AI엔지니어, 뮤지션 등 각 분야를 대표하는 최고 작가들이 참여했다. 뮤지엄엑스는 총 4개의 존과 16개의 체험 시설로 이루어져 있다.
ZONE 1은 6개의 체험 시설이 있으며 몸의 움직임에 따라 빛과 소리가 변화하는 것을 경험할 수 있는 공간이다. ZONE 2는 시간 여행 공간으로 3개의 체험 시설에서는 빛과 소리, 파동을 시각적으로 경험할 수 있다. 사방이 미디어 스크린으로 이루어진 층고 7.5m의 공간은 영상 아티스트와 사운드 아티스트, 전문 조향사가 참여하여 실감 나는 체험 공간을 조성하였다. ZONE 3는 다차원 엠비언스 공간으로 시공간의 한계를 넘어 비현실적인 공간을 유영하는 듯한 느낌을 경험할 수 있다. 인공지능을 탑재한 휴머노이드 로봇이 즉석에서 초상화를 그려주는 스케치엑스는 체험시설 중 가장 많은 호응을 얻은 콘텐츠 중 하나이다.
ZONE 4는 이전의 공간에서 경험했던 것들을 바탕으로 나만의 새로운 공간을 창작하는 인터랙티브 공간이다. AI Composer와의 채팅을 통해 만들어진 이미지를 배경으로 사진을 찍을 수 있으며 모든 이미지를 휴대폰으로 전송받을 수 있다.",속초시
